aime24,aime25,amc23,math_500,minerva,olympiadbench,Avg.,aime24_std,aime25_std,amc23_std,math_500_std,minerva_std,olympiadbench_std,model
31.7,22.0,72.5,84.5,28.3,52.9,48.6,7.3,4.8,3.5,0.2,0.5,1.3,binary_accfmt_MRL4096_ROLLOUT4_LR1e-6_step50
32.0,22.0,73.0,85.3,28.8,53.7,49.1,6.2,4.3,4.7,1.0,0.8,0.9,binary_cosfmt_MRL4096_ROLLOUT4_LR1e-6_step20
30.0,22.3,74.5,83.9,29.0,52.4,48.7,4.9,3.3,5.0,0.3,0.5,1.3,binary_lenfmt_MRL4096_ROLLOUT4_LR1e-6_step30
30.7,18.7,70.5,85.2,30.1,52.0,47.9,6.1,4.0,4.7,0.4,0.8,1.6,expert_acc_MRL4096_ROLLOUT4_LR1e-6_step50
30.7,19.0,72.8,85.6,30.1,52.7,48.5,5.3,5.0,3.6,1.0,0.9,2.0,expert_cos_MRL4096_ROLLOUT4_LR1e-6_step50
31.7,22.0,72.5,84.5,28.3,52.9,48.6,7.3,4.8,3.5,0.2,0.5,1.3,expert_fmt_MRL4096_ROLLOUT4_LR1e-6_step50
26.0,22.3,71.0,83.8,29.4,50.7,47.2,7.3,5.0,4.8,0.7,0.8,0.7,expert_len_MRL4096_ROLLOUT4_LR1e-6_step50
30.3,23.7,74.8,85.3,30.8,53.4,49.7,8.4,1.8,4.1,0.9,1.1,0.5,merge_linear_acc0.1fmt0.9_MRL4096_ROLLOUT4_LR1e-6
32.3,23.7,76.0,84.8,28.7,53.3,49.8,6.0,4.6,4.2,0.5,1.6,0.7,merge_linear_acc0.3fmt0.7_MRL4096_ROLLOUT4_LR1e-6
33.0,22.3,75.8,84.8,30.5,52.7,49.8,5.9,2.6,4.8,1.4,1.8,0.4,merge_linear_acc0.5fmt0.5_MRL4096_ROLLOUT4_LR1e-6
32.0,23.7,71.8,85.5,31.2,52.7,49.5,5.0,2.8,5.0,0.7,0.9,0.8,merge_linear_acc0.7fmt0.3_MRL4096_ROLLOUT4_LR1e-6
30.3,20.7,73.8,84.9,29.2,53.4,48.7,9.1,3.6,4.9,0.7,0.6,0.9,merge_linear_acc0.9fmt0.1_MRL4096_ROLLOUT4_LR1e-6
29.7,22.3,75.5,85.5,30.3,52.3,49.3,4.6,4.0,4.3,0.7,1.8,1.4,merge_linear_cos0.1fmt0.9_MRL4096_ROLLOUT4_LR1e-6
29.0,22.7,73.2,85.1,29.2,53.2,48.7,4.7,3.9,5.4,0.5,0.8,0.5,merge_linear_cos0.3fmt0.7_MRL4096_ROLLOUT4_LR1e-6
29.0,21.3,72.7,84.7,28.3,53.3,48.2,5.0,4.3,6.9,1.4,1.6,0.8,merge_linear_cos0.5fmt0.5_MRL4096_ROLLOUT4_LR1e-6
33.7,24.3,75.0,85.5,31.0,51.8,50.2,4.6,5.0,4.6,0.5,0.7,0.8,merge_linear_cos0.7fmt0.3_MRL4096_ROLLOUT4_LR1e-6
33.7,24.3,72.8,85.8,29.4,52.2,49.7,6.4,3.3,4.7,0.9,0.6,0.6,merge_linear_cos0.9fmt0.1_MRL4096_ROLLOUT4_LR1e-6
31.7,20.3,73.2,84.7,29.3,52.4,48.6,6.4,6.0,4.6,0.6,1.9,0.5,merge_linear_len0.1fmt0.9_MRL4096_ROLLOUT4_LR1e-6
30.7,22.3,73.2,85.1,30.6,51.0,48.8,4.9,5.0,5.9,0.2,1.5,0.5,merge_linear_len0.3fmt0.7_MRL4096_ROLLOUT4_LR1e-6
29.7,25.3,73.2,85.1,29.2,51.5,49.0,6.0,4.8,4.0,1.1,1.7,0.5,merge_linear_len0.5fmt0.5_MRL4096_ROLLOUT4_LR1e-6
26.7,23.7,70.2,84.7,27.0,51.6,47.3,5.2,3.5,4.8,0.3,1.5,0.3,merge_linear_len0.7fmt0.3_MRL4096_ROLLOUT4_LR1e-6
28.7,21.7,72.5,83.3,29.3,52.7,48.0,5.2,5.0,5.1,0.5,0.9,0.4,merge_linear_len0.9fmt0.1_MRL4096_ROLLOUT4_LR1e-6
31.7,23.0,72.0,84.8,29.8,52.7,49.0,4.5,4.1,5.2,0.2,1.0,1.8,mix_accfmt_MRL4096_ROLLOUT4_LR1e-6_step50
32.7,20.0,71.2,85.0,30.1,52.8,48.7,3.6,4.7,4.2,0.5,1.1,0.4,mix_cosfmt_MRL4096_ROLLOUT4_LR1e-6_step40
24.0,21.3,72.7,83.5,30.3,52.8,47.5,4.9,4.8,8.0,0.9,0.5,0.9,mix_lenfmt_MRL4096_ROLLOUT4_LR1e-6_step50
